Line 244: depth 1 (1 opens, 0 closes)
Line 881: depth 5 (1 opens, 0 closes)
Line 882: depth 6 (1 opens, 0 closes)
Line 883: depth 7 (1 opens, 0 closes)
Line 884: depth 8 (1 opens, 0 closes)
Line 886: depth 7 (0 opens, 1 closes)
Line 894: depth 6 (0 opens, 1 closes)
Line 895: depth 7 (1 opens, 0 closes)
Line 899: depth 6 (0 opens, 1 closes)
Line 900: depth 5 (0 opens, 1 closes)
Line 901: depth 6 (1 opens, 0 closes)
Line 902: depth 7 (1 opens, 0 closes)
Line 911: depth 6 (0 opens, 1 closes)
Line 912: depth 7 (1 opens, 0 closes)
Line 921: depth 6 (0 opens, 1 closes)
Line 922: depth 5 (0 opens, 1 closes)
Line 936: depth 4 (0 opens, 1 closes)
Line 938: depth 3 (0 opens, 1 closes)
Line 942: depth 4 (1 opens, 0 closes)
Line 944: depth 5 (1 opens, 0 closes)
Line 945: depth 6 (1 opens, 0 closes)
Line 946: depth 7 (1 opens, 0 closes)
Line 947: depth 8 (1 opens, 0 closes)
Line 949: depth 7 (0 opens, 1 closes)
Line 957: depth 6 (0 opens, 1 closes)
Line 958: depth 7 (1 opens, 0 closes)
Line 962: depth 6 (0 opens, 1 closes)
Line 963: depth 5 (0 opens, 1 closes)
Line 964: depth 6 (1 opens, 0 closes)
Line 965: depth 7 (1 opens, 0 closes)
Line 974: depth 6 (0 opens, 1 closes)
Line 975: depth 7 (1 opens, 0 closes)
Line 984: depth 6 (0 opens, 1 closes)
Line 985: depth 5 (0 opens, 1 closes)
Line 986: depth 4 (0 opens, 1 closes)
Line 988: depth 3 (0 opens, 1 closes)
Line 992: depth 4 (1 opens, 0 closes)
Line 993: depth 5 (1 opens, 0 closes)
Line 994: depth 6 (1 opens, 0 closes)
Line 996: depth 5 (0 opens, 1 closes)
Line 998: depth 4 (0 opens, 1 closes)
Line 999: depth 5 (1 opens, 0 closes)
Line 1000: depth 6 (1 opens, 0 closes)
Line 1009: depth 5 (0 opens, 1 closes)
Line 1010: depth 6 (1 opens, 0 closes)
Line 1012: depth 7 (1 opens, 0 closes)
Line 1030: depth 6 (0 opens, 1 closes)
Line 1031: depth 5 (0 opens, 1 closes)
Line 1032: depth 4 (0 opens, 1 closes)
Line 1055: depth 3 (0 opens, 1 closes)
Line 1057: depth 4 (1 opens, 0 closes)
Line 1061: depth 5 (1 opens, 0 closes)
Line 1062: depth 6 (1 opens, 0 closes)
Line 1063: depth 7 (1 opens, 0 closes)
Line 1072: depth 6 (0 opens, 1 closes)
Line 1073: depth 7 (1 opens, 0 closes)
Line 1075: depth 8 (1 opens, 0 closes)
Line 1093: depth 7 (0 opens, 1 closes)
Line 1094: depth 6 (0 opens, 1 closes)
Line 1095: depth 5 (0 opens, 1 closes)
Line 1097: depth 6 (1 opens, 0 closes)
Line 1099: depth 7 (1 opens, 0 closes)
Line 1101: depth 6 (0 opens, 1 closes)
Line 1106: depth 7 (1 opens, 0 closes)
Line 1108: depth 6 (0 opens, 1 closes)
Line 1182: depth 5 (0 opens, 1 closes)
Line 1185: depth 6 (1 opens, 0 closes)
Line 1187: depth 7 (1 opens, 0 closes)
Line 1188: depth 8 (1 opens, 0 closes)
Line 1189: depth 9 (1 opens, 0 closes)
Line 1191: depth 8 (0 opens, 1 closes)
Line 1192: depth 9 (1 opens, 0 closes)
Line 1197: depth 8 (0 opens, 1 closes)
Line 1198: depth 7 (0 opens, 1 closes)
Line 1202: depth 6 (0 opens, 1 closes)
Line 1204: depth 5 (0 opens, 1 closes)
Line 1205: depth 4 (0 opens, 1 closes)
Line 1208: depth 5 (1 opens, 0 closes)
Line 1209: depth 6 (1 opens, 0 closes)
Line 1210: depth 7 (1 opens, 0 closes)
Line 1212: depth 6 (0 opens, 1 closes)
Line 1214: depth 5 (0 opens, 1 closes)
Line 1216: depth 6 (1 opens, 0 closes)
Line 1244: depth 5 (0 opens, 1 closes)
Line 1246: depth 6 (1 opens, 0 closes)
Line 1248: depth 7 (1 opens, 0 closes)
Line 1249: depth 8 (1 opens, 0 closes)
Line 1254: depth 7 (0 opens, 1 closes)
Line 1256: depth 8 (1 opens, 0 closes)
Line 1273: depth 7 (0 opens, 1 closes)
Line 1274: depth 6 (0 opens, 1 closes)
Line 1276: depth 5 (0 opens, 1 closes)
Line 1277: depth 4 (0 opens, 1 closes)
Line 1278: depth 3 (0 opens, 1 closes)
Line 1279: depth 2 (0 opens, 1 closes)
Line 1283: depth 3 (1 opens, 0 closes)
Line 1284: depth 4 (1 opens, 0 closes)
Line 1285: depth 5 (1 opens, 0 closes)
Line 1287: depth 6 (1 opens, 0 closes)
Line 1296: depth 5 (0 opens, 1 closes)
Line 1297: depth 4 (0 opens, 1 closes)
Line 1298: depth 5 (1 opens, 0 closes)
Line 1301: depth 4 (0 opens, 1 closes)
Line 1302: depth 3 (0 opens, 1 closes)
Line 1304: depth 4 (1 opens, 0 closes)
Line 1307: depth 3 (0 opens, 1 closes)
Line 1309: depth 4 (1 opens, 0 closes)
Line 1319: depth 3 (0 opens, 1 closes)
Line 1321: depth 4 (1 opens, 0 closes)
Line 1322: depth 5 (1 opens, 0 closes)
Line 1323: depth 6 (1 opens, 0 closes)
Line 1324: depth 7 (1 opens, 0 closes)
Line 1325: depth 8 (1 opens, 0 closes)
Line 1327: depth 7 (0 opens, 1 closes)
Line 1328: depth 8 (1 opens, 0 closes)
Line 1333: depth 7 (0 opens, 1 closes)
Line 1334: depth 6 (0 opens, 1 closes)
Line 1342: depth 5 (0 opens, 1 closes)
Line 1343: depth 4 (0 opens, 1 closes)
Line 1345: depth 5 (1 opens, 0 closes)
Line 1346: depth 6 (1 opens, 0 closes)
Line 1347: depth 7 (1 opens, 0 closes)
Line 1348: depth 8 (1 opens, 0 closes)
Line 1350: depth 7 (0 opens, 1 closes)
Line 1351: depth 8 (1 opens, 0 closes)
Line 1354: depth 7 (0 opens, 1 closes)
Line 1355: depth 6 (0 opens, 1 closes)
Line 1363: depth 5 (0 opens, 1 closes)
Line 1365: depth 6 (1 opens, 0 closes)
Line 1373: depth 5 (0 opens, 1 closes)
Line 1375: depth 4 (0 opens, 1 closes)
Line 1376: depth 3 (0 opens, 1 closes)
Line 1379: depth 4 (1 opens, 0 closes)
Line 1380: depth 5 (1 opens, 0 closes)
Line 1381: depth 6 (1 opens, 0 closes)
Line 1382: depth 7 (1 opens, 0 closes)
Line 1384: depth 6 (0 opens, 1 closes)
Line 1385: depth 7 (1 opens, 0 closes)
Line 1388: depth 6 (0 opens, 1 closes)
Line 1389: depth 5 (0 opens, 1 closes)
Line 1390: depth 4 (0 opens, 1 closes)
Line 1392: depth 5 (1 opens, 0 closes)
Line 1408: depth 6 (1 opens, 0 closes)
Line 1410: depth 5 (0 opens, 1 closes)
Line 1411: depth 6 (1 opens, 0 closes)
Line 1414: depth 5 (0 opens, 1 closes)
Line 1416: depth 6 (1 opens, 0 closes)
Line 1418: depth 5 (0 opens, 1 closes)
Line 1423: depth 6 (1 opens, 0 closes)
Line 1425: depth 5 (0 opens, 1 closes)
Line 1427: depth 4 (0 opens, 1 closes)
Line 1428: depth 3 (0 opens, 1 closes)
Line 1429: depth 2 (0 opens, 1 closes)
Line 1431: depth 1 (0 opens, 1 closes)
Line 1436: depth 0 (0 opens, 1 closes)
Line 1437: depth -1 (0 opens, 1 closes)
Final depth: -1
